yourlist:M20191006E5A08BB0B2D1C45B0C7BC3B55FD265564BC80E0	Entry	Protein names
O75717	O75717	WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1) (And-1)
Q8IU80	Q8IU80	Transmembrane protease serine 6 (EC 3.4.21.-) (Matriptase-2)
O75445	O75445	Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein)
Q9Y6M7	Q9Y6M7	Sodium bicarbonate cotransporter 3 (Electroneutral Na/HCO(3) cotransporter) (Sodium bicarbonate cotransporter 2) (Sodium bicarbonate cotransporter 2b) (Bicarbonate transporter) (Solute carrier family 4 member 7)
Q8WXG9	Q8WXG9	Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta]
O43822	O43822	Cilia- and flagella-associated protein 410 (C21orf-HUMF09G8.5) (Leucine-rich repeat-containing protein 76) (YF5/A2)
A6NGG8	A6NGG8	Photoreceptor cilium actin regulator
Q9NZN9	Q9NZN9	Aryl-hydrocarbon-interacting protein-like 1
Q9BUN5	Q9BUN5	Coiled-coil domain-containing protein 28B
Q8NDW8	Q8NDW8	Tetratricopeptide repeat protein 21A (TPR repeat protein 21A) (Stress-inducible protein 2)
Q4G0X9	Q4G0X9	Coiled-coil domain-containing protein 40
Q9H251	Q9H251	Cadherin-23 (Otocadherin)
Q16533	Q16533	snRNA-activating protein complex subunit 1 (SNAPc subunit 1) (Proximal sequence element-binding transcription factor subunit gamma) (PSE-binding factor subunit gamma) (PTF subunit gamma) (Small nuclear RNA-activating complex polypeptide 1) (snRNA-activating protein complex 43 kDa subunit) (SNAPc 43 kDa subunit)
Q8NEP3	Q8NEP3	Dynein assembly factor 1, axonemal (Leucine-rich repeat-containing protein 50)
Q9NVR5	Q9NVR5	Protein kintoun (Dynein assembly factor 2, axonemal)
Q8TF09	Q8TF09	Dynein light chain roadblock-type 2 (Dynein light chain 2B, cytoplasmic) (Roadblock domain-containing protein 2)
Q9Y2D4	Q9Y2D4	Exocyst complex component 6B (Exocyst complex component Sec15B) (SEC15-like protein 2)
Q9ULD6	Q9ULD6	Protein inturned (Inturned planar cell polarity effector homolog) (PDZ domain-containing protein 6)
Q9NWU2	Q9NWU2	Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1)
Q9NQC8	Q9NQC8	Intraflagellar transport protein 46 homolog
Q96FT9	Q96FT9	Intraflagellar transport protein 43 homolog
Q9BW83	Q9BW83	Intraflagellar transport protein 27 homolog (Putative GTP-binding protein RAY-like) (Rab-like protein 4)
Q9UG01	Q9UG01	Intraflagellar transport protein 172 homolog
Q9HBG6	Q9HBG6	Intraflagellar transport protein 122 homolog (WD repeat-containing protein 10) (WD repeat-containing protein 140)
Q9Y366	Q9Y366	Intraflagellar transport protein 52 homolog (Protein NGD5 homolog)
Q9NWB7	Q9NWB7	Intraflagellar transport protein 57 homolog (Dermal papilla-derived protein 8) (Estrogen-related receptor beta-like protein 1) (HIP1-interacting protein) (MHS4R2)
Q96LB3	Q96LB3	Intraflagellar transport protein 74 homolog (Capillary morphogenesis gene 1 protein) (CMG-1) (Coiled-coil domain-containing protein 2)
Q9P2H3	Q9P2H3	Intraflagellar transport protein 80 homolog (WD repeat-containing protein 56)
Q8WYA0	Q8WYA0	Intraflagellar transport protein 81 homolog (Carnitine deficiency-associated protein expressed in ventricle 1) (CDV-1)
Q9NRR6	Q9NRR6	Phosphatidylinositol polyphosphate 5-phosphatase type IV (72 kDa inositol polyphosphate 5-phosphatase) (Inositol polyphosphate-5-phosphatase E) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86)
O15066	O15066	Kinesin-like protein KIF3B (HH0048) (Microtubule plus end-directed kinesin motor 3B) [Cleaved into: Kinesin-like protein KIF3B, N-terminally processed]
Q8TDX7	Q8TDX7	Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)
P51957	P51957	Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2)
Q7L5Y9	Q7L5Y9	E3 ubiquitin-protein transferase MAEA (EC 2.3.2.27) (Cell proliferation-inducing gene 5 protein) (Erythroblast macrophage protein) (Human lung cancer oncogene 10 protein) (HLC-10) (Macrophage erythroblast attacher) (P44EMLP)
Q9UPN4	Q9UPN4	Centrosomal protein of 131 kDa (5-azacytidine-induced protein 1) (Pre-acrosome localization protein 1)
P51157	P51157	Ras-related protein Rab-28
A2A3K4	A2A3K4	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)
Q9H871	Q9H871	E3 ubiquitin-protein transferase RMND5A (EC 2.3.2.27) (P44CTLH) (Protein RMD5 homolog A)
Q9UIF3	Q9UIF3	Tektin-2 (Tektin-t) (Testicular tektin) (Testicular tektin B1-like protein) (TEKTB1) (Tektin-B1)
Q8N0X2	Q8N0X2	Sperm-associated antigen 16 protein (Pf20 protein homolog)
Q9P0W8	Q9P0W8	Spermatogenesis-associated protein 7 (HSD-3.1) (Spermatogenesis-associated protein HSD3)
P27105	P27105	Erythrocyte band 7 integral membrane protein (Protein 7.2b) (Stomatin)
Q9P2L0	Q9P2L0	WD repeat-containing protein 35 (Intraflagellar transport protein 121 homolog)
Q8WVS4	Q8WVS4	WD repeat-containing protein 60
Q8NEZ3	Q8NEZ3	WD repeat-containing protein 19 (Intraflagellar transport 144 homolog)
P62699	P62699	Protein yippee-like 5
Q7Z4L5	Q7Z4L5	Tetratricopeptide repeat protein 21B (TPR repeat protein 21B) (Intraflagellar transport 139 homolog)
A0AVF1	A0AVF1	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
Q8N4P2	Q8N4P2	Tetratricopeptide repeat protein 30B (TPR repeat protein 30B)
O95167	O95167	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit)
Q6PIU1	Q6PIU1	Potassium voltage-gated channel subfamily V member 1 (Neuronal potassium channel alpha subunit HNKA) (Voltage-gated potassium channel subunit Kv8.1)
Q9C0B6	Q9C0B6	BMP/retinoic acid-inducible neural-specific protein 2 (DBCCR1-like protein 2)
Q8IXZ3	Q8IXZ3	Transcription factor Sp8 (Specificity protein 8)
Q8IZI9	Q8IZI9	Interferon lambda-3 (IFN-lambda-3) (Cytokine Zcyto22) (Interleukin-28B) (IL-28B) (Interleukin-28C) (IL-28C)
P0C7X1	P0C7X1	TBC1 domain family member 3H
Q99999	Q99999	Galactosylceramide sulfotransferase (GalCer sulfotransferase) (EC 2.8.2.11) (3'-phosphoadenosine-5'-phosphosulfate:GalCer sulfotransferase) (3'-phosphoadenylylsulfate:galactosylceramide 3'-sulfotransferase) (Cerebroside sulfotransferase)
O75170	O75170	Serine/threonine-protein phosphatase 6 regulatory subunit 2 (SAPS domain family member 2)
Q96DN2	Q96DN2	von Willebrand factor C and EGF domain-containing protein (HBV X protein up-regulated gene 11 protein) (HBxAg up-regulated gene 11 protein)
Q96DL1	Q96DL1	NXPE family member 2 (Protein FAM55B)
Q9BR11	Q9BR11	Zinc finger SWIM domain-containing protein 1
Q9ULI0	Q9ULI0	ATPase family AAA domain-containing protein 2B
Q9NYB5	Q9NYB5	Solute carrier organic anion transporter family member 1C1 (Organic anion transporter F) (OATP-F) (Organic anion transporter polypeptide-related protein 5) (OAT-RP-5) (OATPRP5) (Organic anion-transporting polypeptide 14) (OATP-14) (Solute carrier family 21 member 14) (Thyroxine transporter)
P33402	P33402	Guanylate cyclase soluble subunit alpha-2 (GCS-alpha-2) (EC 4.6.1.2)
O15439	O15439	Multidrug resistance-associated protein 4 (ATP-binding cassette sub-family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B)
P81408	P81408	Protein FAM189B (Protein COTE1)
Q9NQG5	Q9NQG5	Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor)
Q6UXZ0	Q6UXZ0	Transmembrane and immunoglobulin domain-containing protein 1
Q92502	Q92502	StAR-related lipid transfer protein 8 (Deleted in liver cancer 3 protein) (DLC-3) (START domain-containing protein 8) (StARD8) (START-GAP3)
Q8TA94	Q8TA94	Zinc finger protein 563
Q9Y6R1	Q9Y6R1	Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4) (kNBC1)
Q9Y466	Q9Y466	Nuclear receptor subfamily 2 group E member 1 (Nuclear receptor TLX) (Protein tailless homolog) (Tll) (hTll)
Q96GL9	Q96GL9	Protein FAM163A (Cebelin) (Neuroblastoma-derived secretory protein)
Q7Z628	Q7Z628	Neuroepithelial cell-transforming gene 1 protein (Proto-oncogene p65 Net1) (Rho guanine nucleotide exchange factor 8)
P0C2L3	P0C2L3	Protein FAM163B
O00192	O00192	Armadillo repeat protein deleted in velo-cardio-facial syndrome
Q9BY21	Q9BY21	G-protein coupled receptor 87 (G-protein coupled receptor 95)
Q8NHY3	Q8NHY3	GAS2-like protein 2 (GAS2-related protein on chromosome 17) (Growth arrest-specific protein 2-like 2)
Q14500	Q14500	ATP-sensitive inward rectifier potassium channel 12 (Inward rectifier K(+) channel Kir2.2) (IRK-2) (Inward rectifier K(+) channel Kir2.2v) (Potassium channel, inwardly rectifying subfamily J member 12)
P48050	P48050	Inward rectifier potassium channel 4 (HIRK2) (HRK1) (Hippocampal inward rectifier) (HIR) (Inward rectifier K(+) channel Kir2.3) (IRK-3) (Potassium channel, inwardly rectifying subfamily J member 4)
Q86SQ6	Q86SQ6	Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123)
Q9UKF7	Q9UKF7	Cytoplasmic phosphatidylinositol transfer protein 1 (Mammalian rdgB homolog beta) (M-rdgB beta) (MrdgBbeta) (Retinal degeneration B homolog beta) (RdgBbeta)
Q99972	Q99972	Myocilin (Myocilin 55 kDa subunit) (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]
O76090	O76090	Bestrophin-1 (TU15B) (Vitelliform macular dystrophy protein 2)
Q96SD1	Q96SD1	Protein artemis (EC 3.1.-.-) (DNA cross-link repair 1C protein) (Protein A-SCID) (SNM1 homolog C) (hSNM1C) (SNM1-like protein)
P02776	P02776	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4) (Iroplact) (Oncostatin-A) [Cleaved into: Platelet factor 4, short form (Endothelial cell growth inhibitor)]
Q8NFH4	Q8NFH4	Nucleoporin Nup37 (p37) (Nup107-160 subcomplex subunit Nup37)
O00548	O00548	Delta-like protein 1 (Drosophila Delta homolog 1) (Delta1) (H-Delta-1)
Q9NR61	Q9NR61	Delta-like protein 4 (Drosophila Delta homolog 4) (Delta4)
P98066	P98066	Tumor necrosis factor-inducible gene 6 protein (Hyaluronate-binding protein) (TNF-stimulated gene 6 protein) (TSG-6) (Tumor necrosis factor alpha-induced protein 6) (TNF alpha-induced protein 6)
P22004	P22004	Bone morphogenetic protein 6 (BMP-6) (VG-1-related protein) (VG-1-R) (VGR-1)
O00602	O00602	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)
O75636	O75636	Ficolin-3 (Collagen/fibrinogen domain-containing lectin 3 p35) (Collagen/fibrinogen domain-containing protein 3) (Hakata antigen)
P07996	P07996	Thrombospondin-1 (Glycoprotein G)
Q9NRM1	Q9NRM1	Enamelin
Q6UX39	Q6UX39	Amelotin
P07585	P07585	Decorin (Bone proteoglycan II) (PG-S2) (PG40)
Q9NP70	Q9NP70	Ameloblastin
Q96MK3	Q96MK3	Pseudokinase FAM20A
P28370	P28370	Probable global transcription activator SNF2L1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA1) (Nucleosome-remodeling factor subunit SNF2L) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1)
P21754	P21754	Zona pellucida sperm-binding protein 3 (Sperm receptor) (ZP3A/ZP3B) (Zona pellucida glycoprotein 3) (Zp-3) (Zona pellucida protein C) [Cleaved into: Processed zona pellucida sperm-binding protein 3]
Q12836	Q12836	Zona pellucida sperm-binding protein 4 (Zona pellucida glycoprotein 4) (Zp-4) (Zona pellucida protein B) [Cleaved into: Processed zona pellucida sperm-binding protein 4]
A0A1B0GTR3	A0A1B0GTR3	Uncharacterized protein CXorf51A
Q9BRT3	Q9BRT3	Migration and invasion enhancer 1 (HBV X-transactivated gene 4 protein) (HBV XAg-transactivated protein 4) (Protein C35)
Q8WU58	Q8WU58	Protein FAM222B
Q9H0D2	Q9H0D2	Zinc finger protein 541
Q86VV4	Q86VV4	Ran-binding protein 3-like
Q15915	Q15915	Zinc finger protein ZIC 1 (Zinc finger protein 201) (Zinc finger protein of the cerebellum 1)
Q96PC2	Q96PC2	Inositol hexakisphosphate kinase 3 (InsP6 kinase 3) (EC 2.7.4.21) (Inositol hexaphosphate kinase 3)
Q9NU39	Q9NU39	Forkhead box protein D4-like 1 (FOXD4-like 1)
Q15678	Q15678	Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez)
P59910	P59910	DnaJ homolog subfamily B member 13 (Testis and spermatogenesis cell-related protein 6) (Testis spermatocyte apoptosis-related gene 6 protein) (Testis spermatogenesis apoptosis-related gene 3 protein) (Testis spermatogenesis apoptosis-related gene 6 protein)
Q5J8X5	Q5J8X5	Membrane-spanning 4-domains subfamily A member 13 (Testis-expressed transmembrane protein 4)
Q99954	Q99954	Submaxillary gland androgen-regulated protein 3A (Proline-rich protein 5) (Proline-rich protein PBI)
Q9H1K6	Q9H1K6	Talin rod domain-containing protein 1 (Mesoderm development candidate 1)
Q5HYW2	Q5HYW2	NHS-like protein 2
Q9GZV7	Q9GZV7	Hyaluronan and proteoglycan link protein 2 (Brain link protein 1)
Q9Y5K8	Q9Y5K8	V-type proton ATPase subunit D (V-ATPase subunit D) (V-ATPase 28 kDa accessory protein) (Vacuolar proton pump subunit D)
Q9BTD3	Q9BTD3	Transmembrane protein 121
P86480	P86480	Proline-rich protein 20D
O43508	O43508	Tumor necrosis factor ligand superfamily member 12 (APO3 ligand) (TNF-related weak inducer of apoptosis) (TWEAK) [Cleaved into: Tumor necrosis factor ligand superfamily member 12, membrane form; Tumor necrosis factor ligand superfamily member 12, secreted form]
O60519	O60519	cAMP-responsive element-binding protein-like 2
P54710	P54710	Sodium/potassium-transporting ATPase subunit gamma (Na(+)/K(+) ATPase subunit gamma) (FXYD domain-containing ion transport regulator 2) (Sodium pump gamma chain)
Q969S0	Q969S0	UDP-xylose and UDP-N-acetylglucosamine transporter (Solute carrier family 35 member B4) (YEA4 homolog)
P24592	P24592	Insulin-like growth factor-binding protein 6 (IBP-6) (IGF-binding protein 6) (IGFBP-6)
Q6UWT4	Q6UWT4	Uncharacterized protein C5orf46
P16150	P16150	Leukosialin (GPL115) (Galactoglycoprotein) (GALGP) (Leukocyte sialoglycoprotein) (Sialophorin) (CD antigen CD43) [Cleaved into: CD43 cytoplasmic tail (CD43-ct) (CD43ct)]
O75084	O75084	Frizzled-7 (Fz-7) (hFz7) (FzE3)
Q9UJ90	Q9UJ90	Potassium voltage-gated channel subfamily E regulatory beta subunit 5 (AMME syndrome candidate gene 2 protein) (Potassium channel subunit beta MiRP4) (Potassium voltage-gated channel subfamily E member 1-like protein)
O75830	O75830	Serpin I2 (Myoepithelium-derived serine protease inhibitor) (Pancpin) (Pancreas-specific protein TSA2004) (Peptidase inhibitor 14) (PI-14)
Q9UKJ8	Q9UKJ8	Disintegrin and metalloproteinase domain-containing protein 21 (ADAM 21) (EC 3.4.24.-)
P07510	P07510	Acetylcholine receptor subunit gamma
Q86Z23	Q86Z23	Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11)
P51687	P51687	Sulfite oxidase, mitochondrial (EC 1.8.3.1)
Q5DT21	Q5DT21	Serine protease inhibitor Kazal-type 9 (Lymphoepithelial Kazal-type-related inhibitor 2)
Q71RC9	Q71RC9	Small integral membrane protein 5
Q96PD5	Q96PD5	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Peptidoglycan recognition protein 2) (Peptidoglycan recognition protein long) (PGRP-L)
Q5GAN6	Q5GAN6	Inactive ribonuclease-like protein 10
Q92989	Q92989	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)
Q8WV15	Q8WV15	Transmembrane protein 255B (Protein FAM70B)
P53367	P53367	Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)
Q9BQE5	Q9BQE5	Apolipoprotein L2 (Apolipoprotein L-II) (ApoL-II)
Q96IV6	Q96IV6	Fatty acid hydroxylase domain-containing protein 2
Q9Y5Z9	Q9Y5Z9	UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-) (Transitional epithelial response protein 1)
Q8N661	Q8N661	Lysoplasmalogenase (EC 3.3.2.2) (Transmembrane protein 86B)
Q96F05	Q96F05	Uncharacterized protein C11orf24 (Protein DM4E3)
Q6UX34	Q6UX34	Protein SNORC (Secondary ossification center-associated regulator of chondrocyte maturation protein)
Q9UBY5	Q9UBY5	Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7)
P30301	P30301	Lens fiber major intrinsic protein (Aquaporin-0) (MIP26) (MP26)
Q06432	Q06432	Voltage-dependent calcium channel gamma-1 subunit (Dihydropyridine-sensitive L-type, skeletal muscle calcium channel subunit gamma)
P11215	P11215	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b)
Q8NBD8	Q8NBD8	Transmembrane protein 229B
Q8N912	Q8N912	Nutritionally-regulated adipose and cardiac enriched protein homolog
A0PK00	A0PK00	Transmembrane protein 120B
Q6UX40	Q6UX40	Transmembrane protein 107
Q9Y3E0	Q9Y3E0	Vesicle transport protein GOT1B (Germ cell tumor 2) (Golgi transport 1 homolog B) (Putative NF-kappa-B-activating protein 470) (hGOT1a)
P29033	P29033	Gap junction beta-2 protein (Connexin-26) (Cx26)
Q14656	Q14656	Transmembrane protein 187 (Protein ITBA1)
Q9NR31	Q9NR31	GTP-binding protein SAR1a (COPII-associated small GTPase)
Q9P2W3	Q9P2W3	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13
Q9BU79	Q9BU79	Transmembrane protein 243 (MDR1- and mitochondrial taxol resistance-associated protein) (MM-TRAG)
Q9Y342	Q9Y342	Plasmolipin (Plasma membrane proteolipid)
Q9UHE5	Q9UHE5	N-acetyltransferase 8 (EC 2.3.1.-) (Acetyltransferase 2) (ATase2) (Camello-like protein 1) (Cysteinyl-conjugate N-acetyltransferase) (CCNAT) (EC 2.3.1.80)
Q69YG0	Q69YG0	Transmembrane protein 42
Q9Y6X1	Q9Y6X1	Stress-associated endoplasmic reticulum protein 1 (Ribosome-attached membrane protein 4)
Q8N6F1	Q8N6F1	Claudin-19
Q8TBM7	Q8TBM7	Transmembrane protein 254
B2RUZ4	B2RUZ4	Small integral membrane protein 1 (Vel blood group antigen)
Q5BJF2	Q5BJF2	Sigma intracellular receptor 2 (Sigma-2 receptor) (Sigma2 receptor) (Meningioma-associated protein 30) (Transmembrane protein 97)
Q9UHX3	Q9UHX3	Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312)
Q0VDI3	Q0VDI3	Transmembrane protein 267
Q9UNE2	Q9UNE2	Rab effector Noc2 (No C2 domains protein) (Rabphilin-3A-like protein)
Q6ZP80	Q6ZP80	Transmembrane protein 182
O15375	O15375	Monocarboxylate transporter 6 (MCT 6) (Monocarboxylate transporter 5) (MCT 5) (Solute carrier family 16 member 5)
P31941	P31941	DNA dC->dU-editing enzyme APOBEC-3A (A3A) (EC 3.5.4.38) (Phorbolin-1)
Q63HM1	Q63HM1	Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)
Q96HP4	Q96HP4	Oxidoreductase NAD-binding domain-containing protein 1 (EC 1.-.-.-)
Q86WC6	Q86WC6	Protein phosphatase 1 regulatory subunit 27 (Dysferlin-interacting protein 1) (Toonin)
O14990	O14990	Protein phosphatase inhibitor 2 family member C (PPP1R2 family member B) (Protein phosphatase 1, regulatory subunit 2 pseudogene 9) (Type-1 protein phosphatase inhibitor 4) (I-4)
Q9NNX6	Q9NNX6	CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN) (DC-SIGN1) (CD antigen CD209)
Q9BYU1	Q9BYU1	Pre-B-cell leukemia transcription factor 4 (Homeobox protein PBX4)
Q96LP2	Q96LP2	Protein FAM81B
Q6NZ36	Q6NZ36	Fanconi anemia core complex-associated protein 20 (FANCA-associated protein of 20 kDa) (Fanconi anemia-associated protein of 20 kDa)
Q9Y279	Q9Y279	V-set and immunoglobulin domain-containing protein 4 (Protein Z39Ig)
Q8IYX1	Q8IYX1	TBC1 domain family member 21
Q8N7C3	Q8N7C3	Probable E3 ubiquitin-protein ligase TRIML2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIML2) (SPRY domain-containing protein 6) (Tripartite motif family-like protein 2)
O95995	O95995	Dynein regulatory complex subunit 4 (Growth arrest-specific protein 11) (GAS-11) (Growth arrest-specific protein 8) (GAS-8)
Q1A5X7	Q1A5X7	Putative WASP homolog-associated protein with actin, membranes and microtubules-like protein 1 (WAS protein homolog associated with actin, Golgi membranes and microtubules pseudogene 3) (WAS protein homology region 2 domain-containing protein 1-like protein 1) (WH2 domain-containing protein 1-like protein 1) (WHDC1-like protein 1)
Q7Z794	Q7Z794	Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Keratin-77) (K77) (Type-II keratin Kb39)
Q5JUK2	Q5JUK2	Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1
Q9BRT7	Q9BRT7	Deleted.
Q6P5R6	Q6P5R6	60S ribosomal protein L22-like 1 (Large ribosomal subunit protein eL22-like 1)
Q9NUJ3	Q9NUJ3	T-complex protein 11-like protein 1
P61165	P61165	Transmembrane protein 258 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258) (Oligosaccharyl transferase subunit TMEM258)
Q6PL24	Q6PL24	Protein TMED8
Q6Q788	Q6Q788	Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3)
Q5VVQ6	Q5VVQ6	Ubiquitin thioesterase OTU1 (EC 3.4.19.12) (DUBA-8) (HIV-1-induced protease 7) (HIN-7) (HsHIN7) (OTU domain-containing protein 2)
O43711	O43711	T-cell leukemia homeobox protein 3 (Homeobox protein Hox-11L2)
Q9Y666	Q9Y666	Solute carrier family 12 member 7 (Electroneutral potassium-chloride cotransporter 4) (K-Cl cotransporter 4)
Q8IWU4	Q8IWU4	Zinc transporter 8 (ZnT-8) (Solute carrier family 30 member 8)
Q9Y6I9	Q9Y6I9	Testis-expressed protein 264 (Putative secreted protein Zsig11)
P08034	P08034	Gap junction beta-1 protein (Connexin-32) (Cx32) (GAP junction 28 kDa liver protein)
Q9GZY8	Q9GZY8	Mitochondrial fission factor
Q6ZUX7	Q6ZUX7	LHFPL tetraspan subfamily member 2 protein (Lipoma HMGIC fusion partner-like 2 protein)
Q4LDR2	Q4LDR2	Cortexin-3 (Kidney and brain-expressed protein)
P47884	P47884	Olfactory receptor 1D4 (Olfactory receptor 17-30) (OR17-30)
Q99541	Q99541	Perilipin-2 (Adipophilin) (Adipose differentiation-related protein) (ADRP)
P33764	P33764	Protein S100-A3 (Protein S-100E) (S100 calcium-binding protein A3)
Q6UX27	Q6UX27	V-set and transmembrane domain-containing protein 1 (Signal inhibitory receptor on leukocytes-1) (SIRL-1)
P30838	P30838	Aldehyde dehydrogenase, dimeric NADP-preferring (EC 1.2.1.5) (ALDHIII) (Aldehyde dehydrogenase 3) (Aldehyde dehydrogenase family 3 member A1)
Q9HBE5	Q9HBE5	Interleukin-21 receptor (IL-21 receptor) (IL-21R) (Novel interleukin receptor) (CD antigen CD360)
Q8TD22	Q8TD22	Sideroflexin-5
Q8IVJ1	Q8IVJ1	Solute carrier family 41 member 1
Q5TGU0	Q5TGU0	Translocator protein 2 (Peripheral-type benzodiazepine receptor-like protein 1)
Q7Z4F1	Q7Z4F1	Low-density lipoprotein receptor-related protein 10 (LRP-10)
Q8WVX3	Q8WVX3	Uncharacterized protein C4orf3 (Hepatitis C virus F protein-transactivated protein 1) (HCV F-transactivated protein 1)
Q9UHJ9	Q9UHJ9	Post-GPI attachment to proteins factor 2 (FGF receptor-activating protein 1)
Q8IY26	Q8IY26	Phospholipid phosphatase 6 (EC 3.1.3.-) (Phosphatidic acid phosphatase type 2 domain-containing protein 2) (PPAP2 domain-containing protein 2) (Presqualene diphosphate phosphatase)
Q2KHN1	Q2KHN1	RING finger protein 151
Q96G79	Q96G79	Probable UDP-sugar transporter protein SLC35A4 (Solute carrier family 35 member A4)
P57764	P57764	Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT); Gasdermin-D, C-terminal (GSDMD-CT)]
Q9NS98	Q9NS98	Semaphorin-3G (Semaphorin sem2)
Q9BSY9	Q9BSY9	Deubiquitinase DESI2 (EC 3.4.19.12) (Desumoylating isopeptidase 2) (DeSI-2) (PPPDE peptidase domain-containing protein 1) (Protein FAM152A)
Q7Z6J8	Q7Z6J8	E3 ubiquitin-protein ligase E3D (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase E3D) (UbcH10-binding protein with a HECT-like domain) (Ubiquitin-conjugating enzyme E2C-binding protein)
Q8WZ74	Q8WZ74	Cortactin-binding protein 2 (CortBP2)
A6NK75	A6NK75	Zinc finger protein 98 (Zinc finger protein 739) (Zinc finger protein F7175)
Q2M243	Q2M243	Coiled-coil domain-containing protein 27
Q9Y336	Q9Y336	Sialic acid-binding Ig-like lectin 9 (Siglec-9) (CDw329) (Protein FOAP-9) (CD antigen CD329)
P31249	P31249	Homeobox protein Hox-D3 (Homeobox protein Hox-4A)
P13682	P13682	Zinc finger protein 35 (Zinc finger protein HF.10)
Q96NJ6	Q96NJ6	Zinc finger protein 3 homolog (Zfp-3) (Zinc finger protein 752)
Q96P53	Q96P53	WD repeat and FYVE domain-containing protein 2 (Propeller-FYVE protein) (Prof) (WD40- and FYVE domain-containing protein 2) (Zinc finger FYVE domain-containing protein 22)
Q9Y5W9	Q9Y5W9	Sorting nexin-11
Q96MP8	Q96MP8	BTB/POZ domain-containing protein KCTD7
Q8IYS1	Q8IYS1	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)
